"N" "nteeth" "ntime" "truealpha0" "truealpha1" "truealpha2" "truealpha3" "truebeta0" "truebeta1" "truebeta2" "truebeta3" "truenu" "truetau" "truerho" "prob_dropout" "variable" "value" "truth" "var"
500 28 6 2 "-1" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.414998549463301 "rrzcwbeta3relbias" 0.0275099215865899 "-1" "alpha3-2"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.355937136204889 "rrzcwbeta3relbias" 0.243611358503696 "-2" "alpha3-2"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.505068056762236 "ccbeta3relbias" -0.803117546592473 "0" "alpha3-1"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.298913043478261 "rrzcwbeta3relbias" 0.844694437733232 "-1.5" "alpha3-1"
500 28 6 2 "0" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.553308823529412 "ccbeta3relbias" -0.177343373223 "0" "alpha3-2"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.354712771890686 "ccbeta3relbias" -0.1971518465855 "-2" "alpha3-2"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.327231446005392 "rrzcwbeta3relbias" -0.574119144397304 "-1.5" "alpha30"
500 28 6 2 "0" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.474364318466028 "bbdcwbeta3relbias" -0.195179906318072 "0" "alpha30"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.308941920644048 "rrzcwbeta3relbias" 1.03525611384654 "-2" "alpha3-1"
500 28 6 2 "0" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.491230512249443 "rrzcwbeta3relbias" 0.545563175566136 "0" "alpha3-1"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.371591720199857 "ccbeta3relbias" 0.572351662923732 "-0.5" "alpha30"
500 28 6 2 "-1.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.311404144326909 "cwbeta3relbias" -0.260352765478276 "-1.5" "alpha3-1"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.294218906900014 "bbdcwbeta3relbias" 0.139335080823438 "-2" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.31607898448519 "ccbeta3relbias" -0.701643551339088 "-2" "alpha30"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.31573017884805 "ccbeta3relbias" -0.053502914561134 "-2" "alpha30"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.319546742209632 "bbdcwbeta3relbias" -0.224508647365074 "-2" "alpha30"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.317576278470133 "rrzcwbeta3relbias" -0.386472470270562 "-1.5" "alpha30"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.371684053651267 "cwbeta3relbias" -0.347038343732716 "-2" "alpha3-2"
500 28 6 2 "-1.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.318824194460147 "cwbeta3relbias" 0.0467604202767919 "-1.5" "alpha30"
500 28 6 2 "-0.5" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.372871316451947 "rrzcwbeta3relbias" 0.604883541724036 "-0.5" "alpha30"
500 28 6 2 "-0.5" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.490299572039943 "ccbeta3relbias" -0.7222199634298 "-0.5" "alpha3-2"
500 28 6 2 "-0.5" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.414870843442272 "cwbeta3relbias" -0.081419459912764 "-0.5" "alpha3-1"
500 28 6 2 "-2" 0 0 -3 1 1.5 0.5 0.5 0.4 0.4 0.324714285714286 "cwbeta3relbias" -0.617724467211542 "-2" "alpha30"
500 28 6 2 "-2" 0 -2 -3 1 1.5 0.5 0.5 0.4 0.4 0.361671675969658 "rrzcwbeta3relbias" 1.82263895057572 "-2" "alpha3-2"
500 28 6 2 "-2" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.31517623070201 "rrzcwbeta3relbias" -0.071744557398398 "-2" "alpha3-1"
500 28 6 2 "-1" 0 -1 -3 1 1.5 0.5 0.5 0.4 0.4 0.337162550258472 "cwbeta3relbias" -0.231474192508858 "-1" "alpha3-1"
